year,decade,observed,forecast,historic average,STDEV Q,STDEV deltaQ
2008,30,50.399999999999999,nan,52.773493975903627,11.669744958624998,5.316580389213461
2008,31,61.5,nan,51.263855421686742,12.402572297253432,5.15168962237873
2008,32,54.0,nan,49.156626506024089,12.141314197069928,5.0163825060454235
2008,33,48.799999999999997,nan,46.134939759036151,10.424132808699243,6.293803537913034
2008,34,46.299999999999997,nan,43.569879518072284,8.894129811693684,3.6248274554373787
2008,35,42.700000000000003,nan,41.310843373493981,8.15065480009373,2.681055313908799
2008,36,42.5,nan,39.579518072289162,8.027327700350583,2.5801743045129935
2009,1,41.799999999999997,nan,38.763855421686749,8.463704117788872,3.335671492508209
2009,2,40.299999999999997,nan,37.456626506024094,7.557554656315186,2.750334043238673
2009,3,40.0,nan,36.593975903614457,7.218545718639955,1.9641736823614497
2009,4,38.600000000000001,nan,36.350602409638554,6.935563590336685,2.9068125519991113
2009,5,37.600000000000001,nan,36.330120481927707,8.346062821441823,4.315845988237024
2009,6,39.0,nan,36.862650602409637,8.588544708255341,5.756207856417002
2009,7,41.700000000000003,nan,39.404761904761905,9.99889035725278,6.319245380615396
2009,8,74.799999999999997,nan,47.572619047619042,20.364316483226986,16.897701852114693
2009,9,104.0,nan,60.483333333333334,22.606480749721975,13.864377669349162
2009,10,138.0,nan,86.370238095238108,35.77737314083148,23.51841513676118
2009,11,149.0,nan,136.13452380952381,60.29840552957487,41.32492361192991
2009,12,176.0,nan,190.67380952380952,80.0095688841249,48.179943879738296
2009,13,231.0,nan,234.62738095238097,86.85741168226397,59.634211185507674
2009,14,273.0,nan,265.92261904761904,93.12068002586552,59.38809443132177
2009,15,318.0,nan,284.15476190476193,91.22030714091235,64.14691751501502
2009,16,313.0,nan,327.52380952380952,98.45180781692692,60.3838683799558
2009,17,420.0,nan,325.41666666666669,114.66023231923967,67.23524926365342
2009,18,473.0,nan,309.06190476190477,110.54092182869566,54.3370414490576
2009,19,339.0,nan,264.26904761904763,105.95601949182465,47.61491561820459
2009,20,316.0,nan,213.03333333333333,84.80126637684408,34.79397760815659
2009,21,277.0,nan,169.21686746987953,68.20466120126822,27.81787278764537
2009,22,201.0,nan,134.82976190476188,51.33348746074425,22.35115234538518
2009,23,160.0,nan,111.03095238095241,38.811807221578,16.272628315691083
2009,24,117.0,nan,91.036904761904751,26.900923886861655,14.28250552747253
2009,25,93.799999999999997,98.39700000000002,76.98571428571428,21.1356784110018,7.449807857918768
2009,26,82.299999999999997,81.02500000000002,67.014285714285705,17.089841574040925,5.52960425670774
2009,27,105.0,nan,60.49761904761904,14.235023634586039,5.557147429230288
2009,28,86.799999999999997,nan,56.503614457831326,12.147442225836363,4.361916775311723
2009,29,76.299999999999997,nan,54.210843373493965,11.560635606293905,4.512334940769608
2009,30,69.099999999999994,nan,52.773493975903627,11.669744958624998,5.316580389213461
2009,31,66.799999999999997,nan,51.263855421686742,12.402572297253432,5.15168962237873
2009,32,59.399999999999999,nan,49.156626506024089,12.141314197069928,5.0163825060454235
2009,33,56.299999999999997,nan,46.134939759036151,10.424132808699243,6.293803537913034
2009,34,54.299999999999997,nan,43.569879518072284,8.894129811693684,3.6248274554373787
2009,35,49.200000000000003,nan,41.310843373493981,8.15065480009373,2.681055313908799
